000211012,3.0 ,政治學                                                      ,Political science,蔡中民                           ,TSAI CHUNG-MIN,政治系      ,Department of Political Science                                                                                                       ,一D56         
000213002,2.0 ,經濟學,Economics,王國樑、李為楨                       ,WANG KUO-LIANG/LEE WEI-CHEN,經濟系      ,Department of Economics                                                                                                               ,二78          
000216001,3.0 ,社會學,Sociology,姜以琳                           ,CHIANG YI-LIN,社會系      ,Department of Sociology                                                                                                               ,四D56         
000217002,3.0 ,個體經濟學,Microeconomics,江品慧                           ,CHIANG PIIN-HUEIH,經濟系      ,Department of Economics                                                                                                               ,二234         
000217012,3.0 ,個體經濟學,Microeconomics,陳鎮洲                           ,CHEN JENN-JOU,經濟系      ,Department of Economics                                                                                                               ,三234         
000217022,3.0 ,個體經濟學,Microeconomics,李慧琳                           ,LEE HUEY-LIN,經濟系      ,Department of Economics                                                                                                               ,一D56         
000217042,3.0 ,個體經濟學,Microeconomics,黃柏鈞                           ,HUANG PO-CHUN,經濟系      ,Department of Economics                                                                                                               ,三D56         
000218002,3.0 ,總體經濟學                                                  ,Macroeconomics,洪福聲                           ,HUNG FU-SHENG,經濟系      ,Department of Economics                                                                                                               ,四D56         
000218012,3.0 ,總體經濟學                                                  ,Macroeconomics,洪福聲                           ,HUNG FU-SHENG,經濟系      ,Department of Economics                                                                                                               ,二234         
000218042,3.0 ,總體經濟學                                                  ,Macroeconomics,黃明聖                           ,HWANG MING-SHENG,經濟系      ,Department of Economics                                                                                                               ,二234         
000218052,3.0 ,總體經濟學,Macroeconomics,吳致謙                           ,WU JHIH-CHIAN,經濟系      ,Department of Economics                                                                                                               ,三D56         
000219012,3.0 ,經濟學,Economics,朱美麗                           ,CHU MEI-LIE,經濟系      ,Department of Economics                                                                                                               ,四234         
000219022,3.0 ,經濟學                                                      ,Economics,翁永和                           ,WENG YUNGHO,經濟系      ,Department of Economics                                                                                                               ,四D56         
000219032,3.0 ,經濟學,Economics,王信實                           ,WANG SHINN-SHYR,經濟系      ,Department of Economics                                                                                                               ,五234         
000219042,3.0 ,經濟學,Economics,陳心蘋                           ,CHEN HSIN-PING,經濟系      ,Department of Economics                                                                                                               ,五D56         
000219052,3.0 ,經濟學                                                      ,Economics,李文傑                           ,LEE WEN-CHIEH,經濟系      ,Department of Economics                                                                                                               ,四234         
000219082,3.0 ,經濟學,Economics,廖郁萍                           ,LIAO YU-PING,經濟系      ,Department of Economics                                                                                                               ,三234         
000219112,3.0 ,經濟學,Economics,彭喜樞                           ,PENG SHI SHU,經濟系      ,Department of Economics                                                                                                               ,三D56         
000219122,3.0 ,經濟學,Economics,胡偉民                           ,HU WEI-MIN,經濟系      ,Department of Economics                                                                                                               ,一D56         
000219512,3.0 ,經濟學                                                      ,Economics,吳文傑                           ,WU WEN-CHIEH,國貿系      ,Department of International Business                                                                                                  ,一D56         
000219532,3.0 ,經濟學                                                      ,Economics,林信助                           ,LIN SHINN-JUH,國貿系      ,Department of International Business                                                                                                  ,二234         
000219542,3.0 ,經濟學                                                      ,Economics,鄭鴻章                           ,CHENG HUNG-CHANG,國貿系      ,Department of International Business                                                                                                  ,二234         
000219552,3.0 ,經濟學                                                      ,Economics,饒秀華                           ,RAU HSIU-HUA,國貿系      ,Department of International Business                                                                                                  ,三234         
